Date of most recent action/contact,Status,Clinic name,Main contact name,Main contact email,Email sent,Phone number,Follow-up call?,Address line 1,Address line 2,City,State,Zip code,Title,Clinic type,What percent of your clients are women?,What percent of your clients are men who have sex with men (MSM)?,What percent of your clients are under 26?,What percent of your clients are black/African American?,What percent of your clients are hispanic/Latino(a)?,How many people did you test last year for chlamydia?,How many did you test for gonorrhea?,How many did you test for trichomoniasis?,How many did you diagnose with chlamydia?,How many did you diagnose with gonorrhea?,How may did you diagnose with trichomoniasis?,How many did you test for HIV?,How many did you diagnose with HIV?,How much do you charge clients for a chlamydia test?,How do you deliver chlamydia test results?,Do you notify clients when their test results are ready?,Do you routinely ask clients if they are getting tested because of a partner notification?
Red row,Not called and not signed up,Clinic that has not signed up + we have not called but we should call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue row,Called and not signed up,Clinic that we have called but it has not signed up yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green row,Signed up and not called,Clinic that has signed and has not been called,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow row ,"Signed up, called, waiting on card amount confirmation","Clinic that has signed up and has been called, no card amount confirmation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White row,"Signed up, called, and sending cards to",Clinic that has been called + has signed up - sending cards to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2013,"Signed up, called, and sending cards to",City of Springfield Health Center,Marge Simpson,marge@springfieldhealth-center.org,Y,555-555-1234,,742 Evergreen Terrace,,,California,12345,,STD clinic,45,5,60,70,25,1900,1100,0,225,150,0,650,6,Free,on the phone,"Yes, for people who are positive",Yes
8/5/2013,"Signed up, called, and sending cards to",Hoth Igloo Clinic,Dak Ralter,clinic@hoth.gov,Y,123-456-789,,321 Iceberg Place,,,Alaska,54321,,STD clinic,70,1,90,35,0.25,23,23,0,47,32,0,41,0,Flat fee,in person or over the phone,other,Yes
8/5/2013,"Signed up, called, and sending cards to",West Philadelphia Health Department,William Smith,born.and.raised@health.illadelph.gov,Y,215-555-9999,Yes; left a voicemail,50 Fifty Street,,,Pennsylvania,9876,,Other,70,5,25,98,2,100,100,-,-,-,-,-,-,-,-,-,-
8/5/2013,"Signed up, called, and sending 60 brochures and cards to (emailed)",Free Clinic of Risa,Tos Utat,medial@risa.gov,Y,696-969-6969,Yes; she does not test or diagnose STDs; only educational,69 Jahamaron Road, Epsilon Ceti B II,,Wyoming,67890,,other,42,68,52,3,10,,,-,-,-,-,-,-,-,other,other,Yes
8/5/2013,"Called, signed up, needs 40 cards",Daystrom Institute,Leah Brahms,warp.drive.fiend@daystrom.edu,Y,212-555-1337,Yes; hung up the phone before I could finish,3 Duotronic St.,,,New York,13579,,other,80,-,95,15,10,40,40,-,-,-,-,-,-,-,-,-,-
